,Team,Over,Ball,Ball ID,score,Runs,bowler,on_strike_batter,commentary,fow,Batting_Order_Strike,out_batsman,Batting_Order_Out,partnership_key,Batting_Order_NonStrike,non_strike_batter,partnership_key_name,nb_runs,wide_runs,leg_bye_flag,bye_flag,leg_bye_runs,bye_runs,extras_runs,Bat_Runs
50,Lancashire,8,3,50,1,1,Abbott,Croft,"Abbott to Croft,  1 run",,3,,,"(3, 2)",2,Buttler,"('Croft', 'Buttler')",0,0,0,0,0,0,0,1
51,Lancashire,8,4,51,0,0,Abbott,Buttler,"Abbott to Buttler, no run",,2,,,"(3, 2)",3,Croft,"('Croft', 'Buttler')",0,0,0,0,0,0,0,0
52,Lancashire,8,5,52,0,0,Abbott,Buttler,"Abbott to Buttler, no run",,2,,,"(3, 2)",3,Croft,"('Croft', 'Buttler')",0,0,0,0,0,0,0,0
53,Lancashire,8,6,53,1,1,Abbott,Buttler,"Abbott to Buttler,  1 run",,2,,,"(3, 2)",3,Croft,"('Croft', 'Buttler')",0,0,0,0,0,0,0,1
54,Lancashire,9,1,54,0,0,Narine,Buttler,"Narine to Buttler, no run",,2,,,"(3, 2)",3,Croft,"('Croft', 'Buttler')",0,0,0,0,0,0,0,0
55,Lancashire,9,2,55,1,1,Narine,Buttler,"Narine to Buttler,  1 run",,2,,,"(3, 2)",3,Croft,"('Croft', 'Buttler')",0,0,0,0,0,0,0,1
56,Lancashire,9,3,56,4lb,4,Narine,Croft,"Narine to Croft, 4 leg byes",,3,,,"(3, 2)",2,Buttler,"('Croft', 'Buttler')",0,0,1,0,4,0,4,0
57,Lancashire,9,4,57,1,1,Narine,Croft,"Narine to Croft,  1 run",,3,,,"(3, 2)",2,Buttler,"('Croft', 'Buttler')",0,0,0,0,0,0,0,1
58,Lancashire,9,5,58,0,0,Narine,Buttler,"Narine to Buttler, no run",,2,,,"(3, 2)",3,Croft,"('Croft', 'Buttler')",0,0,0,0,0,0,0,0
59,Lancashire,9,6,59,2,2,Narine,Buttler,"Narine to Buttler,  2 runs",,2,,,"(3, 2)",3,Croft,"('Croft', 'Buttler')",0,0,0,0,0,0,0,2
60,Lancashire,10,1,60,1,1,Moriarty,Croft,"Moriarty to Croft,  1 run",,3,,,"(3, 2)",2,Buttler,"('Croft', 'Buttler')",0,0,0,0,0,0,0,1
61,Lancashire,10,2,61,1,1,Moriarty,Buttler,"Moriarty to Buttler,  1 run",,2,,,"(3, 2)",3,Croft,"('Croft', 'Buttler')",0,0,0,0,0,0,0,1
62,Lancashire,10,3,62,1,1,Moriarty,Croft,"Moriarty to Croft,  1 run",,3,,,"(3, 2)",2,Buttler,"('Croft', 'Buttler')",0,0,0,0,0,0,0,1
63,Lancashire,10,4,63,W,0,Moriarty,Buttler,"Moriarty to Buttler, OUT",Jos Buttler c Evans b Moriarty 42 (32b 2x4 3x6 39m) SR: 131.25,2,Buttler,2,"(3, 2)",3,Croft,"('Croft', 'Buttler')",0,0,0,0,0,0,0,0
64,Lancashire,10,5,64,1,1,Moriarty,Livingstone,"Moriarty to Livingstone,  1 run",,4,,,"(3, 4)",3,Croft,"('Croft', 'Livingstone')",0,0,0,0,0,0,0,1
65,Lancashire,10,6,65,2,2,Moriarty,Croft,"Moriarty to Croft,  2 runs",,3,,,"(3, 4)",4,Livingstone,"('Croft', 'Livingstone')",0,0,0,0,0,0,0,2
66,Lancashire,11,1,66,0,0,Narine,Livingstone,"Narine to Livingstone, no run",,4,,,"(3, 4)",3,Croft,"('Croft', 'Livingstone')",0,0,0,0,0,0,0,0
67,Lancashire,11,2,67,0,0,Narine,Livingstone,"Narine to Livingstone, no run",,4,,,"(3, 4)",3,Croft,"('Croft', 'Livingstone')",0,0,0,0,0,0,0,0
68,Lancashire,11,3,68,0,0,Narine,Livingstone,"Narine to Livingstone, no run",,4,,,"(3, 4)",3,Croft,"('Croft', 'Livingstone')",0,0,0,0,0,0,0,0
69,Lancashire,11,4,69,1,1,Narine,Livingstone,"Narine to Livingstone,  1 run",,4,,,"(3, 4)",3,Croft,"('Croft', 'Livingstone')",0,0,0,0,0,0,0,1
70,Lancashire,11,5,70,1,1,Narine,Croft,"Narine to Croft,  1 run",,3,,,"(3, 4)",4,Livingstone,"('Croft', 'Livingstone')",0,0,0,0,0,0,0,1
71,Lancashire,11,6,71,0,0,Narine,Livingstone,"Narine to Livingstone, no run",,4,,,"(3, 4)",3,Croft,"('Croft', 'Livingstone')",0,0,0,0,0,0,0,0
72,Lancashire,12,1,72,3lb,3,Jordan,Croft,"Jordan to Croft, 3 leg byes",,3,,,"(3, 4)",4,Livingstone,"('Croft', 'Livingstone')",0,0,1,0,3,0,3,0
73,Lancashire,12,2,73,3n-l,3,Jordan,Livingstone,"Jordan to Livingstone, (no ball) 1 leg bye",,4,,,"(3, 4)",3,Croft,"('Croft', 'Livingstone')",2,0,1,0,1,0,3,0
74,Lancashire,12,2,74,4,4,Jordan,Croft,"Jordan to Croft, FOUR runs",,3,,,"(3, 4)",4,Livingstone,"('Croft', 'Livingstone')",0,0,0,0,0,0,0,4
75,Lancashire,12,3,75,0,0,Jordan,Croft,"Jordan to Croft, no run",,3,,,"(3, 4)",4,Livingstone,"('Croft', 'Livingstone')",0,0,0,0,0,0,0,0
76,Lancashire,12,4,76,1,1,Jordan,Croft,"Jordan to Croft,  1 run",,3,,,"(3, 4)",4,Livingstone,"('Croft', 'Livingstone')",0,0,0,0,0,0,0,1
77,Lancashire,12,5,77,0,0,Jordan,Livingstone,"Jordan to Livingstone, no run",,4,,,"(3, 4)",3,Croft,"('Croft', 'Livingstone')",0,0,0,0,0,0,0,0
78,Lancashire,12,6,78,1lb,1,Jordan,Livingstone,"Jordan to Livingstone, 1 leg bye",,4,,,"(3, 4)",3,Croft,"('Croft', 'Livingstone')",0,0,1,0,1,0,1,0
79,Lancashire,13,1,79,1,1,Narine,Livingstone,"Narine to Livingstone,  1 run",,4,,,"(3, 4)",3,Croft,"('Croft', 'Livingstone')",0,0,0,0,0,0,0,1
80,Lancashire,13,2,80,4,4,Narine,Croft,"Narine to Croft, FOUR runs",,3,,,"(3, 4)",4,Livingstone,"('Croft', 'Livingstone')",0,0,0,0,0,0,0,4
81,Lancashire,13,3,81,1,1,Narine,Croft,"Narine to Croft,  1 run",,3,,,"(3, 4)",4,Livingstone,"('Croft', 'Livingstone')",0,0,0,0,0,0,0,1
82,Lancashire,13,4,82,0,0,Narine,Livingstone,"Narine to Livingstone, no run",,4,,,"(3, 4)",3,Croft,"('Croft', 'Livingstone')",0,0,0,0,0,0,0,0
83,Lancashire,13,5,83,4,4,Narine,Livingstone,"Narine to Livingstone, FOUR runs",,4,,,"(3, 4)",3,Croft,"('Croft', 'Livingstone')",0,0,0,0,0,0,0,4
84,Lancashire,13,6,84,W,0,Narine,Livingstone,"Narine to Livingstone, OUT",Liam Livingstone c Overton b Narine 7 (13b 1x4 0x6 14m) SR: 53.84,4,Livingstone,4,"(3, 4)",3,Croft,"('Croft', 'Livingstone')",0,0,0,0,0,0,0,0
85,Lancashire,14,1,85,0,0,Abbott,Croft,"Abbott to Croft, no run",,3,,,"(3, 5)",5,Mitchell,"('Croft', 'Mitchell')",0,0,0,0,0,0,0,0
86,Lancashire,14,2,86,6,6,Abbott,Croft,"Abbott to Croft,  SIX runs",,3,,,"(3, 5)",5,Mitchell,"('Croft', 'Mitchell')",0,0,0,0,0,0,0,6
87,Lancashire,14,3,87,1,1,Abbott,Croft,"Abbott to Croft,  1 run",,3,,,"(3, 5)",5,Mitchell,"('Croft', 'Mitchell')",0,0,0,0,0,0,0,1
88,Lancashire,14,4,88,2,2,Abbott,Mitchell,"Abbott to Mitchell,  2 runs",,5,,,"(3, 5)",3,Croft,"('Croft', 'Mitchell')",0,0,0,0,0,0,0,2
89,Lancashire,14,5,89,1,1,Abbott,Mitchell,"Abbott to Mitchell,  1 run",,5,,,"(3, 5)",3,Croft,"('Croft', 'Mitchell')",0,0,0,0,0,0,0,1
90,Lancashire,14,6,90,0,0,Abbott,Croft,"Abbott to Croft, no run",,3,,,"(3, 5)",5,Mitchell,"('Croft', 'Mitchell')",0,0,0,0,0,0,0,0
91,Lancashire,15,1,91,1,1,Sam Curran,Mitchell,"Sam Curran to Mitchell,  1 run",,5,,,"(3, 5)",3,Croft,"('Croft', 'Mitchell')",0,0,0,0,0,0,0,1
